nrpolizza;DENOM_PRODOTTO;Cod. Agenzia;Riscatto;dtdatarif liquidato;Classificazione;Tipo_premio;Antidurata;Anno dec;IBRIDO/altro;Famiglia Prodotto;Antidurata arrotondata;Periodo di osservazione
024922335;Smart EverGreen;02105;10.857,56;1/12/2024;Uscita definitiva;PR;4,172222222;2.020;di cui Ibridi;Smart EverGreen;4;2.024
024922757;Smart EverGreen;02105;36.071,33;1/12/2024;Uscita definitiva;PR;4,172222222;2.020;di cui Ibridi;Smart EverGreen;4;2.024
025214426;Valore Futuro Piu;02105;14.776,10;1/12/2024;Uscita definitiva;PU;3,163888889;2.021;di cui Ibridi;Valore Futuro Piu;3;2.024
023139377;D'ORO 2012;37502;8.075,30;1/1/2024;Uscita definitiva;PR;9,416666667;2.014;di cui altro;D'ORO;ott-15;2.024
025440816;Valore EverGreen;22499;141,58;1/11/2024;Uscita definitiva;PU;2,166666667;2.022;di cui Ibridi;Valore EverGreen;2;2.024
025342802;Smart EverGreen;22499;2.876,78;1/4/2024;Uscita definitiva;PR;2,013888889;2.022;di cui Ibridi;Smart EverGreen;2;2.024
024001746;Extra di Alleanza;05800;3.535,75;1/7/2024;Uscita definitiva;PR;7,213888889;2.017;di cui Ibridi;Extra;7;2.024
021498960;D'ORO 2006;02103;15.679,26;1/8/2024;Uscita definitiva;PR;15,84722222;2.008;di cui altro;D'ORO;15-20+;2.024
023651967;REINVESTO Plus 2014;07999;26.496,71;1/11/2024;Riscatto reworkato;PU;8,661111111;2.016;di cui altro;Reinvesto;8;2.024
024247905;AllORO 2016;07999;43.083,24;1/11/2024;Riscatto reworkato;PU;6,702777778;2.018;di cui altro;AllORO;6;2.024
023290244;D'ORO 2014;22499;8.134,87;1/4/2024;Uscita definitiva;PR;9,155555556;2.015;di cui altro;D'ORO;9;2.024
024017351;Extra di Alleanza;37505;31.813,57;1/6/2024;Uscita definitiva;PR;7,086111111;2.017;di cui Ibridi;Extra;7;2.024
022989604;NEWCAPITALL di Alleanza;03500;18.227,68;1/5/2024;Uscita definitiva;PR;10,23888889;2.014;di cui altro;Allecapital/Newcapitall;ott-15;2.024
024001909;Extra di Alleanza;09199;1.461,19;1/3/2024;Uscita definitiva;PR;6,880555556;2.017;di cui Ibridi;Extra;7;2.024
024867004;Valore Euro San Giorgio;37526;45.815,53;1/9/2024;Uscita definitiva;PU;4,169444444;2.020;di cui altro;Valore Euro San Giorgio;4;2.024
024146335;Extra di Alleanza;26699;2.900,46;1/8/2024;Uscita definitiva;PR;6,788888889;2.017;di cui Ibridi;Extra;7;2.024
025279056;Valore EverGreen;31699;7.626,30;1/8/2024;Uscita definitiva;PU;2,605555556;2.021;di cui Ibridi;Valore EverGreen;3;2.024
024968887;Extra POP;37522;2.006,76;1/8/2024;Uscita definitiva;PR;3,677777778;2.020;di cui Ibridi;Extra;4;2.024
023275001;Valore Futuro;18299;5.812,88;1/10/2024;Riscatto reworkato;PU;9,688888889;2.015;di cui Ibridi;Valore Futuro;9;2.024
024502077;Reinvesto Valore;14399;10.848,27;1/8/2024;Riscatto reworkato;PU;5,533333333;2.019;di cui Ibridi;Valore Alleanza;5;2.024
024663208;Valore Alleanza;14399;9.853,50;1/8/2024;Riscatto reworkato;PU;4,986111111;2.019;di cui Ibridi;Valore Alleanza;5;2.024
024218294;Valore Alleanza;00703;26.134,34;1/1/2024;Uscita definitiva;PU;5,95;2.018;di cui Ibridi;Valore Alleanza;6;2.024
